[2024-08-19 18:06:29] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCT\Scripts\vectors.lua
C:\Program Files\GCT\Scripts\vectors.lua:10: bad argument #1 to 'random' (interval is empty)
[2024-08-19 18:12:45] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCT\Scripts\vectors.lua
C:\Program Files\GCT\Scripts\vectors.lua:10: bad argument #1 to 'random' (interval is empty)
[2024-08-19 18:21:33] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCT\Scripts\vectors.lua
C:\Program Files\GCT\Scripts\vectors.lua:10: bad argument #1 to 'random' (interval is empty)
[2024-08-19 22:25:00] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCT\Scripts\vectors.lua
C:\Program Files\GCT\Scripts\vectors.lua:10: bad argument #1 to 'random' (interval is empty)
[2024-08-20 12:56:44] [ERROR] Хэш функции 13928195483908293688 не найден
C:\Program Files\GCT\Scripts\vectors.lua:10: bad argument #1 to 'random' (interval is empty)
[2024-08-21 18:47:18] [ERROR] Хэш функции 14695981039346656037 не найден
[2024-08-21 22:45:55] [ERROR] Хэш функции 9539247220505512504 не найден
[2024-08-21 22:45:55] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:00] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:00] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:00] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:00] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:00] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:00] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:00] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:00] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:01] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:02] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:09] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:09] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:09] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:09] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:10] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:10] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:10] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:10] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:10] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:10] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:10] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:10] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:12] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:12] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:12] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:12] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:12] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:12] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:12] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:12] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:13] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:13] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:13] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:13] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:13] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:13] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:13] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:13] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:14] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:25] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:25] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:25] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:25] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:25] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:25] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:25] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:25] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:31] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:31] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:31] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:31] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:37] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:37] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:37] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:37] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:46:37] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:37] [ERROR] Хэш функции 17008184909937875687 не найден
[2024-08-21 22:46:37] [ERROR] Хэш функции 7877544986995521686 не найден
[2024-08-21 22:46:37] [ERROR] Хэш функции 6572184491543793244 не найден
[2024-08-21 22:50:07] [ERROR] Хэш функции 1390217784 не найден
[2024-08-21 22:50:07] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:15] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:20] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:20] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:20] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:20] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:21] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:22] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:34] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:34] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:34] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:34] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:34] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:34] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:34] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:34] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:36] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:36] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:36] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:36] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:36] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:36] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:36] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:36] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:39] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:39] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:39] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:39] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:42] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:42] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:42] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:42] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:42] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:42] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:42] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:42] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:47] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:47] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:47] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:47] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:55] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:55] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:55] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:55] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:50:55] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:55] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:50:55] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:50:55] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:51:24] [ERROR] Хэш функции 1390217784 не найден
[2024-08-21 22:51:24] [ERROR] Хэш функции 3925911519 не найден
[2024-08-21 22:51:35] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:51:35] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:51:35] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:51:35] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:51:35] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:51:35] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:51:35] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:51:35] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:51:48] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:51:48] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:51:48] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:51:48] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:51:49] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:51:49] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:51:49] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:51:49] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:51:49] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:51:49] [ERROR] Хэш функции 4144077543 не найден
[2024-08-21 22:51:49] [ERROR] Хэш функции 3154573462 не найден
[2024-08-21 22:51:49] [ERROR] Хэш функции 1624018524 не найден
[2024-08-21 22:54:15] [ERROR] Хэш функции 676699782 не найден
[2024-08-21 22:54:15] [ERROR] Хэш функции 2494503942 не найден
[2024-08-22 10:52:42] [ERROR] Хэш функции 9326392099801114477 не найден
[2024-08-22 10:52:49] [ERROR] Хэш функции 9326392099801114477 не найден
[2024-08-23 16:21:00] [ERROR] [string "coords = ENTITY::GET_ENTITY_COORDS(6658, 0)"]:1: '::' expected near '('
[2024-08-23 16:56:52] [ERROR] Lua function call error: C:\Program Files\GCTV\Scripts\features\TeleportCommands.lua:9: attempt to index a nil value (local 'coords')
[2024-08-23 17:51:53] [ERROR] Lua function call error: C:\Program Files\GCTV\Scripts\features\VehicleCommand.lua:38: attempt to call a nil value (global 'RegisterAsNetwork')
[2024-08-23 17:54:36] [ERROR] Lua function call error: C:\Program Files\GCTV\Scripts\features\VehicleCommand.lua:58: bad argument #1 to 'random' (interval is empty)
[2024-08-24 10:43:27] [ERROR] Хэш функции 4250568536195234481 не найден
[2024-08-25 17:28:20] [ERROR] [string "coords = HUD::GET_BLIP_COORDS(146669686)"]:1: '::' expected near '('
[2024-08-25 17:41:39] [ERROR] Lua function call error: C:\Program Files\GCTV\Scripts\features\VehicleCommand.lua:74: attempt to call a nil value (field '_SET_PTFX_ASSET_NEXT_CALL')
[2024-08-25 19:13:59] [ERROR] Lua function call error: C:\Program Files\GCTV\Scripts\features\TeleportCommands.lua:31: attempt to call a nil value (global 'GetWaypointCoords')
[2024-08-25 19:14:58] [ERROR] [string "print(GetWaypointCoords())"]:1: attempt to call a nil value (global 'GetWaypointCoords')
[2024-08-25 19:15:05] [ERROR] [string "print(GetWaypointCoords())"]:1: attempt to call a nil value (global 'GetWaypointCoords')
[2024-08-25 19:18:46] [ERROR] Lua function call error: C:\Program Files\GCTV\Scripts\features\TeleportCommands.lua:31: attempt to call a nil value (global 'GetWaypointCoords')
[2024-08-25 19:19:34] [ERROR] Lua function call error: C:\Program Files\GCTV\Scripts\features\VehicleCommand.lua:34: attempt to call a nil value (global 'GetWaypointCoords')
[2024-08-25 19:27:04] [ERROR] Lua function call error: C:\Program Files\GCTV\Scripts\features\TeleportCommands.lua:31: attempt to call a nil value (global 'GetWaypointCoords')
[2024-08-26 14:06:45] [ERROR] [string "PED::GET_VEHICLE_PED_IS_IN(39967, 1)"]:1: syntax error near '::'
[2024-08-26 14:55:49] [ERROR] Lua function call error: C:\Program Files\GCTV\Scripts\features\NetworkCommands.lua:80: attempt to concatenate a nil value (global 'Name')
[2024-08-26 14:56:01] [ERROR] Lua function call error: C:\Program Files\GCTV\Scripts\features\NetworkCommands.lua:52: attempt to add a 'string' with a 'string'
[2024-08-26 19:04:00] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCTV\Scripts\loader.lua
C:\Program Files\GCTV\Scripts\loader.lua:9: Аргумент "Display error in game" должен быть типа boolean
[2024-08-26 19:05:27] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCTV\Scripts\loader.lua
C:\Program Files\GCTV\Scripts\loader.lua:9: Аргумент "Display error in game" должен быть типа boolean
[2024-08-26 19:06:03] [ERROR] Test
[2024-08-26 19:06:14] [ERROR] Test
[2024-08-26 19:08:39] [ERROR] Test
[2024-08-26 19:10:10] [ERROR] Test
[2024-08-26 19:11:23] [ERROR] Test
[2024-08-26 19:14:12] [ERROR] Test
[2024-08-26 19:14:22] [ERROR] Test
[2024-08-26 19:14:36] [ERROR] Test
[2024-08-26 19:17:53] [ERROR] Test
[2024-08-26 19:22:27] [ERROR] Test
[2024-08-26 19:23:52] [ERROR] [string "SetColour("red")"]:1: attempt to call a nil value (global 'SetColour')
[2024-08-26 19:25:47] [ERROR] Test
[2024-08-26 21:57:43] [ERROR] Failed to register the command: create vehicle
[2024-08-26 22:14:46] [ERROR] Неожиданное поведение в скрипте: C:\Program Files\GCTV\Scripts\loader.lua
C:\Program Files\GCTV\Scripts\loader.lua:11: attempt to call a table value (for iterator 'for iterator')
[2024-08-26 22:16:17] [ERROR] Failed to run the script: C:\Program Files\GCTV\Scripts\features\SessionCommands2.lua
[2024-08-26 22:17:25] [ERROR] Failed to run the script: C:\Program Files\GCTV\Scripts\features\SessionCommands2.lua
[2024-08-26 22:18:42] [ERROR] [string "ShowNotification("test", "test, "CHAR_SOCIAL_..."]:1: ')' expected near 'CHAR_SOCIAL_CLUB'
[2024-08-26 23:48:25] [ERROR] Lua function call error: C:\Program Files\GCTV\Scripts\features\VehicleCommand.lua:10: attempt to call a nil value (global 'START_PARTICLE_FX_LOOPED_ON_ENTITY')
